Ecart angulaire,nombres
0,353
1,273
2,540
3,1164
4,2393
5,4542
6,6969
7,9341
8,10657
9,11135
10,10858
11,9828
12,8814
13,7617
14,6346
15,5239
16,4346
17,3503
18,2868
19,2486
20,1947
21,1643
22,1389
23,1138
24,898
25,763
26,703
27,564
28,489
29,427
30,356
31,327
32,256
33,251
34,225
35,213
36,179
37,185
38,176
39,133
40,125
41,126
42,108
43,97
44,70
45,99
46,105
47,88
48,67
49,61
50,49
51,58
52,42
53,42
54,33
55,36
56,42
57,40
58,37
59,25
60,42
61,26
62,25
63,19
64,28
65,20
66,12
67,19
68,14
69,14
70,9
71,23
72,12
73,9
74,15
75,19
76,11
77,9
78,8
79,7
80,9
81,7
82,7
83,6
84,8
85,7
86,10
87,11
88,9
89,7
90,12
91,4
92,2
93,3
94,7
95,2
96,4
97,1
98,3
99,5
100,3
101,2
102,5
103,5
104,4
105,4
106,2
107,4
108,1
109,1
110,1
111,3
112,1
113,4
114,1
115,3
116,3
117,2
118,3
120,2
121,2
123,2
124,2
125,1
127,2
128,3
129,1
130,5
131,3
132,2
133,1
134,1
135,1
137,3
138,2
139,1
140,4
141,2
143,2
144,2
145,2
146,2
149,1
150,2
151,2
154,1
155,1
156,2
157,1
162,1
163,2
164,2
168,1
169,1
172,1
173,1
179,4
